Random_Date,Category,Payment_Mode,Description,Amount_Paid,Cashback
2024-05-01,Investment,UPI,Retirement account contribution,256.0,0.0
2024-05-01,Entertainment,Net Banking,Concert tickets,91.54,8.92
2024-05-13,Subscriptions,Credit Card,Online course fee,852.34,39.67
2024-05-01,Investment,Cash,Bond investment,721.34,0.0
2024-05-07,Entertainment,Cash,Streaming service subscription,82.78,7.54
2024-05-23,Gifts,Net Banking,Gift for a colleague,907.9,42.26
2024-05-21,Transportation,Net Banking,Taxi fare to a meeting,245.77,7.35
2024-05-26,Groceries,Credit Card,Buying fresh produce,794.87,55.69
2024-05-24,Bills,UPI,Mobile phone bill,87.36,7.9
2024-05-05,Personal,Cash,Books and stationery,414.79,36.75
2024-05-08,Groceries,Credit Card,Buying fresh produce,828.17,40.12
2024-05-23,Personal,Credit Card,Books and stationery,74.16,4.9
2024-05-30,Groceries,Debit Card,Buying fresh produce,793.82,22.56
2024-05-08,Groceries,UPI,Weekly grocery shopping,609.68,50.64
2024-05-21,Entertainment,Net Banking,Video game purchase,511.77,20.9
2024-05-24,Food,Cash,Takeout from a local diner,670.56,45.96
2024-05-03,Subscriptions,Credit Card,Software subscription,916.07,90.48
2024-05-09,Transportation,Credit Card,Parking fees,70.0,2.21
2024-05-04,Groceries,Credit Card,Household supplies,324.19,12.77
2024-05-02,Subscriptions,Credit Card,Software subscription,421.16,2.63
2024-05-14,Travel,Debit Card,Sightseeing tour tickets,160.14,7.73
2024-05-28,Gifts,Credit Card,Gift for a colleague,865.22,28.16
2024-05-28,Subscriptions,Debit Card,Online course fee,58.69,3.4
2024-05-06,Entertainment,UPI,Movie tickets for the weekend,921.05,89.35
2024-05-12,Travel,Credit Card,Hotel booking for vacation,25.21,2.26
2024-05-04,Investment,Debit Card,Stock purchase,721.08,0.0
2024-05-17,Subscriptions,Credit Card,Gym membership,53.72,4.2
2024-05-27,Transportation,Credit Card,Taxi fare to a meeting,586.03,57.79
2024-05-23,Bills,Net Banking,Electricity bill payment,297.58,25.62
2024-05-08,Investment,UPI,Mutual fund contribution,905.4,0.0
2024-05-15,Gifts,Debit Card,Holiday gift,182.14,4.94
2024-05-27,Personal,Credit Card,Hobby supplies,592.33,50.99
2024-05-01,Personal,Cash,Hobby supplies,135.91,5.05
2024-05-03,Food,UPI,Dinner at a restaurant,57.35,3.54
2024-05-26,Travel,Credit Card,Flight tickets to a destination,462.42,36.48
2024-05-28,Transportation,Cash,Parking fees,273.56,3.05
2024-05-20,Transportation,Credit Card,Gas for the car,812.91,58.76
2024-05-25,Bills,Credit Card,Water bill payment,655.78,2.59
2024-05-04,Entertainment,Credit Card,Streaming service subscription,608.37,3.48
2024-05-14,Gifts,Net Banking,Birthday gift for a friend,312.44,27.56
2024-05-15,Groceries,Net Banking,Weekly grocery shopping,395.5,11.15
2024-05-07,Investment,Net Banking,Investment in startup,71.05,0.0
2024-05-09,Travel,Cash,Travel insurance,405.72,17.72
2024-05-16,Gifts,Credit Card,Charity donation,937.68,17.69
2024-05-27,Transportation,Cash,Gas for the car,406.81,30.91
2024-05-29,Bills,UPI,Internet service charge,825.03,55.94
2024-05-05,Transportation,Net Banking,Uber ride to the airport,852.08,41.94
2024-05-09,Subscriptions,Cash,Monthly magazine subscription,474.87,38.7
2024-05-22,Investment,Cash,Bond investment,658.4,0.0
2024-05-01,Transportation,Net Banking,Uber ride to the airport,991.36,11.25
2024-05-15,Groceries,UPI,Household supplies,419.78,6.45
2024-05-06,Subscriptions,UPI,Gym membership,276.31,18.76
2024-05-23,Food,UPI,Lunch with friends,331.28,27.51
2024-05-05,Entertainment,Credit Card,Video game purchase,100.87,5.92
2024-05-02,Gifts,Cash,Birthday gift for a friend,559.23,10.81
2024-05-07,Personal,Debit Card,Personal care products,503.78,23.28
2024-05-12,Investment,UPI,Dividend reinvestment,229.18,0.0
2024-05-22,Bills,UPI,Insurance premium payment,740.47,32.45
2024-05-04,Bills,Debit Card,Insurance premium payment,902.61,5.59
2024-05-14,Subscriptions,Cash,Gym membership,413.28,39.51
2024-05-25,Subscriptions,Credit Card,Online course fee,383.99,22.54
2024-05-16,Food,Cash,Lunch with friends,57.58,0.42
2024-05-14,Transportation,Net Banking,Parking fees,457.5,23.71
2024-05-17,Subscriptions,Net Banking,Gym membership,27.7,0.44
2024-05-26,Personal,Debit Card,Gifts for friends,629.92,58.36
2024-05-19,Personal,Net Banking,Gifts for friends,167.73,12.93
2024-05-29,Gifts,Debit Card,Charity donation,92.78,7.04
2024-05-01,Personal,Credit Card,Gifts for friends,234.55,12.8
2024-05-06,Food,Net Banking,Lunch with friends,350.2,28.37
2024-05-30,Travel,Credit Card,Flight tickets to a destination,321.85,15.41
2024-05-26,Groceries,Credit Card,Weekly grocery shopping,926.17,85.84
2024-05-27,Groceries,Cash,Household supplies,907.6,67.25
2024-05-08,Investment,Cash,Retirement account contribution,595.27,0.0
2024-05-03,Transportation,Net Banking,Gas for the car,500.92,23.08
2024-05-26,Personal,Cash,Clothing purchase,139.95,9.43
2024-05-08,Food,Debit Card,Snacks for cravings,903.88,71.43
2024-05-25,Subscriptions,Debit Card,Monthly magazine subscription,916.28,54.77
2024-05-03,Personal,Net Banking,Clothing purchase,893.09,27.73
2024-05-20,Groceries,Cash,Household supplies,842.13,3.79
2024-05-21,Travel,Credit Card,Flight tickets to a destination,103.86,0.62
2024-05-24,Travel,Debit Card,Car rental for the trip,995.98,5.05
2024-05-13,Personal,Net Banking,Hobby supplies,723.2,5.12
2024-05-20,Food,Credit Card,Snacks for cravings,866.03,23.49
2024-05-02,Food,UPI,Takeout from a local diner,696.93,21.02
2024-05-22,Subscriptions,Net Banking,Software subscription,760.37,56.65
2024-05-02,Gifts,UPI,Holiday gift,489.79,45.4
2024-05-30,Bills,Debit Card,Internet service charge,445.54,39.26
2024-05-07,Investment,Debit Card,Cryptocurrency purchase,440.8,0.0
2024-05-23,Food,UPI,Lunch with friends,401.7,2.84
2024-05-28,Groceries,Credit Card,Snacks and drinks for the week,704.15,12.89
2024-05-14,Travel,UPI,Sightseeing tour tickets,127.45,2.78
2024-05-16,Entertainment,Cash,Concert tickets,533.43,47.6
2024-05-05,Entertainment,Cash,Movie tickets for the weekend,42.55,2.41
2024-05-21,Investment,UPI,Real estate investment,266.78,0.0
2024-05-27,Subscriptions,UPI,Streaming service subscription,546.85,49.18
2024-05-26,Transportation,Credit Card,Taxi fare to a meeting,871.32,65.16
2024-05-29,Personal,Debit Card,Books and stationery,12.52,0.56
2024-05-10,Transportation,Debit Card,Public transport monthly pass,305.92,27.8
2024-05-16,Food,Cash,Dinner at a restaurant,340.11,16.46
2024-05-27,Subscriptions,Net Banking,Streaming service subscription,581.62,11.32
