Random_Date,Category,Payment_Mode,Description,Amount_Paid,Cashback
2024-05-05,Travel,Credit Card,Hotel booking for vacation,194.15,5.55
2024-05-08,Entertainment,Debit Card,Dining out with friends,312.62,14.8
2024-05-02,Food,Cash,Snacks for cravings,897.95,65.0
2024-05-16,Investment,UPI,Retirement account contribution,141.48,0.0
2024-05-17,Subscriptions,Net Banking,Monthly magazine subscription,398.27,17.48
2024-05-28,Investment,Net Banking,Retirement account contribution,120.92,0.0
2024-05-25,Subscriptions,Credit Card,Monthly magazine subscription,65.24,4.23
2024-05-15,Bills,Net Banking,Insurance premium payment,336.03,20.43
2024-05-01,Travel,Cash,Flight tickets to a destination,365.97,33.4
2024-05-17,Groceries,UPI,Weekly grocery shopping,381.68,24.96
2024-05-29,Subscriptions,Debit Card,Gym membership,345.95,26.53
2024-05-28,Transportation,Debit Card,Public transport monthly pass,846.72,31.76
2024-05-17,Groceries,Net Banking,Household supplies,432.76,36.51
2024-05-09,Food,Net Banking,Takeout from a local diner,718.45,25.51
2024-05-25,Groceries,UPI,Buying meat and dairy products,774.66,50.83
2024-05-16,Travel,Debit Card,Car rental for the trip,902.24,39.29
2024-05-30,Subscriptions,Cash,Monthly magazine subscription,647.55,39.2
2024-05-03,Subscriptions,Debit Card,Gym membership,988.77,40.54
2024-05-04,Travel,Net Banking,Travel insurance,316.45,3.09
2024-05-02,Subscriptions,Cash,Gym membership,333.07,26.44
2024-05-06,Transportation,Net Banking,Taxi fare to a meeting,979.16,24.79
2024-05-25,Bills,Credit Card,Internet service charge,173.68,16.02
2024-05-01,Travel,Net Banking,Car rental for the trip,327.18,23.07
2024-05-29,Subscriptions,Cash,Online course fee,320.42,19.5
2024-05-17,Transportation,Cash,Taxi fare to a meeting,765.15,24.38
2024-05-19,Gifts,Debit Card,Birthday gift for a friend,475.67,39.97
2024-05-27,Gifts,Debit Card,Holiday gift,657.67,40.49
2024-05-12,Entertainment,UPI,Streaming service subscription,186.58,0.21
2024-05-28,Travel,UPI,Flight tickets to a destination,818.06,29.09
