Random_Date,Category,Payment_Mode,Description,Amount_Paid,Cashback
2024-01-26,Travel,Debit Card,Flight tickets to a destination,765.73,56.31
2024-01-16,Gifts,Cash,Charity donation,64.72,3.48
2024-01-24,Transportation,Credit Card,Taxi fare to a meeting,748.46,21.04
2024-01-03,Entertainment,Cash,Dining out with friends,766.2,57.2
2024-01-27,Subscriptions,Net Banking,Gym membership,475.65,6.29
2024-01-06,Travel,Credit Card,Flight tickets to a destination,493.84,2.46
2024-01-06,Subscriptions,UPI,Gym membership,300.48,26.18
2024-01-23,Groceries,Debit Card,Weekly grocery shopping,515.16,13.16
2024-01-22,Groceries,Cash,Buying meat and dairy products,318.22,17.85
2024-01-26,Transportation,Cash,Public transport monthly pass,910.7,41.68
2024-01-13,Groceries,Cash,Buying meat and dairy products,843.8,73.04
2024-01-20,Bills,Cash,Internet service charge,488.86,37.23
2024-01-20,Travel,Cash,Sightseeing tour tickets,714.47,2.04
2024-01-01,Gifts,Debit Card,Anniversary gift,106.63,8.66
2024-01-29,Subscriptions,UPI,Streaming service subscription,955.62,77.02
2024-01-01,Transportation,Debit Card,Public transport monthly pass,912.91,43.43
2024-01-23,Subscriptions,Cash,Online course fee,878.29,28.44
2024-01-11,Investment,Debit Card,Dividend reinvestment,123.92,0.0
2024-01-02,Transportation,Credit Card,Parking fees,456.21,29.66
2024-01-03,Transportation,Cash,Uber ride to the airport,263.57,20.85
2024-01-30,Food,UPI,Lunch with friends,656.28,36.76
2024-01-26,Subscriptions,UPI,Software subscription,347.75,16.03
2024-01-19,Bills,Debit Card,Electricity bill payment,438.4,15.66
2024-01-22,Subscriptions,UPI,Monthly magazine subscription,235.32,7.7
2024-01-12,Transportation,Net Banking,Taxi fare to a meeting,209.84,15.21
2024-01-30,Transportation,UPI,Gas for the car,691.73,39.95
2024-01-06,Bills,Credit Card,Insurance premium payment,903.78,56.85
2024-01-02,Food,Cash,Lunch with friends,92.02,0.93
2024-01-25,Food,UPI,Snacks for cravings,625.94,46.77
2024-01-24,Bills,Cash,Mobile phone bill,740.65,19.7
2024-01-02,Entertainment,Credit Card,Movie tickets for the weekend,464.43,24.3
2024-01-18,Gifts,UPI,Birthday gift for a friend,802.78,1.46
2024-01-20,Entertainment,Credit Card,Streaming service subscription,908.67,44.43
2024-01-18,Food,Cash,Lunch with friends,690.95,38.81
2024-01-17,Groceries,Credit Card,Buying fresh produce,86.22,6.74
2024-01-24,Food,Credit Card,Lunch with friends,712.32,56.15
2024-01-08,Investment,UPI,Dividend reinvestment,79.91,0.0
2024-01-22,Food,Credit Card,Lunch with friends,18.36,0.71
2024-01-14,Entertainment,Net Banking,Streaming service subscription,512.42,21.83
2024-01-04,Food,Cash,Dinner at a restaurant,925.17,5.89
2024-01-27,Entertainment,Credit Card,Dining out with friends,269.7,0.8
2024-01-25,Bills,Credit Card,Water bill payment,673.83,37.92
2024-01-19,Subscriptions,UPI,Monthly magazine subscription,875.12,7.47
